asin,product_type,parent_asin,product_group,manufacturer,brand,model,color,size,is_eligible_for_super_saver_shipping,is_sns
B010WE7TUM,0,B005GCCJME,Shoes,Crocs,Crocs,10001,Tangerine,6 Women/4 Men,TRUE,FALSE
B09NM9NGMD,0,B005GCCJME,Shoes,Crocs,Crocs,10001,Bone,4 Women/2 Men,FALSE,FALSE
B09NMCF2YV,0,B005GCCJME,Shoes,Crocs,Crocs,10001,Bone,7 Women/5 Men,FALSE,FALSE
B083LM9YFL,0,B0BSGM6CQ9,Musical Instruments,Ernie Ball Music Man,Ernie Ball,P02211,Mondo (10.5-52),Single Pack,TRUE,FALSE
B0BF8LTGGL,0,B005GCCJME,Shoes,Crocs,Crocs,10001,Juice,7 Women/5 Men,FALSE,FALSE
B09JV3V16Q,0,B0BS6YCMTN,Home,CGK Unlimited,CGK Unlimited,,31 - Emerald Green,Full,FALSE,FALSE
B097732487,0,B005GCCJME,Shoes,Crocs,Crocs,10001,Turq Tonic,11 Women/9 Men,FALSE,FALSE
B0BFNMMPTY,0,B005GCCJME,Shoes,Crocs,Crocs,10001,Atmosphere,12 Women/10 Men,FALSE,FALSE
B09JVWW7PG,0,B0BS6YCMTN,Home,CGK Unlimited,CGK Unlimited,,04 - Steel Blue,Twin,FALSE,FALSE
B0B5R36GCT,0,BT00DC6QU4,Gift Card,,Amazon,307_US_Email,,,FALSE,FALSE
B0BHR7CB9W,0,BT00DC6QU4,Gift Card,,Amazon,307_US_Email,,,FALSE,FALSE
B0BBMRM825,0,BT00DC6QU4,Gift Card,,Amazon,307_US_Email,,,FALSE,FALSE
B08T56L2H8,0,BT00DC6QU4,Gift Card,,Amazon,307_US_Email,,,FALSE,FALSE
B0B131KK45,0,BT00DC6QU4,Gift Card,,Amazon,307_US_Email,,,FALSE,FALSE
B0BFNM1QFP,0,B005GCCJME,Shoes,Crocs,Crocs,10001,Atmosphere,17 Women/15 Men,FALSE,FALSE
B0979NGFZ6,1,,Digital Music Purchase,The Valory Music Co.,,,,,FALSE,FALSE
B016NA9Y4S,0,B09HZ3W89W,Automotive Parts and Accessories,Rain-X,Rain-X,5079281-2,_,"26""",TRUE,FALSE
B07PMFQ6S6,0,B0BS6YCMTN,Home,CGK Unlimited,CGK Unlimited,,34 - Light Pink,Twin,FALSE,FALSE
B074FX5HZY,0,B0BTTWK4YX,Kitchen,Brita,Brita,TU_1467301,White,8 Count,TRUE,FALSE
B08MRRMCZ3,0,BT00DC6QU4,Gift Card,,Amazon,307_US_Email,,,FALSE,FALSE
B0154ARRIS,0,B00U8QEXBS,Home,Amazon Basics,Amazon Basics,SS-OLV-FL,Olive,Full,FALSE,FALSE
B0BFNQ3VPH,0,B005GCCJME,Shoes,Crocs,Crocs,10001,Atmosphere,14 Women/12 Men,FALSE,FALSE
B09773FLVQ,0,B005GCCJME,Shoes,Crocs,Crocs,10001B,Taffy Pink,14 Women/12 Men,FALSE,FALSE
B09JMC1MBB,0,B0BS6YCMTN,Home,CGK Unlimited,CGK Unlimited,,22 - Heathered Blue,King,FALSE,FALSE
B09JM9JJ6J,0,B0BS6YCMTN,Home,CGK Unlimited,CGK Unlimited,,11 - Heathered Beige,King,FALSE,FALSE
B0959DB1TF,0,BT00DC6QU4,Gift Card,,Amazon,307_US_Email,,,FALSE,FALSE
B094Q9RM5K,0,BT00DC6QU4,Gift Card,,Amazon,307_US_Email,,,FALSE,FALSE
B07X3TT2Q8,0,B005GCCJME,Shoes,Crocs,Crocs,10001,Ballerina Pink,5 Women/3 Men,FALSE,FALSE
B08ZKR512N,0,BT00DC6QU4,Gift Card,,Amazon,307_US_Email,,,FALSE,FALSE
