domainId,catId,name,parent,highestRank,productCount,contextFreeName,lowestRank
1,17403635011,Business & Money,2486013011,3621937,39,Kindle Singles: Business & Money,11550
1,17403650011,"Mystery, Thriller & Suspense",2486013011,4047002,272,"Kindle Singles: Mystery, Thriller & Suspense",257
1,17403652011,Parenting & Relationships,2486013011,3931078,78,Kindle Singles: Parenting & Relationships,4505
1,17403655011,Religion & Spirituality,2486013011,4840995,40,Kindle Singles: Religion & Spirituality,9107
1,17403643011,"Health, Fitness & Dieting",2486013011,2761363,32,"Kindle Singles: Health, Fitness & Dieting",11580
1,17403647011,LGBTQ+,2486013011,3249314,20,Kindle Singles: LGBTQ+,14400
1,17403657011,Science & Math,2486013011,6122667,70,Kindle Singles: Science & Math,41954
1,17403662011,Travel,2486013011,4137442,50,Kindle Singles: Travel,164593
1,17403651011,Nonfiction,2486013011,-1,0,Kindle Singles: Nonfiction,2147483647
1,165389011,Kindle Newspapers,133141011,6593025,2891,Newspapers,6848
1,2399044011,Europe,165389011,1538149,9,European Newspapers,24923
1,251294011,United Kingdom,2399044011,1538149,10,United Kingdom Newspapers,5544
1,251299011,Spain,2399044011,743455,6,Spanish Newspapers,37597
1,251295011,Ireland,2399044011,40305,1,Irish Newspapers,40305
1,251298011,Germany,2399044011,521121,5,German Newspapers,65979
1,251297011,France,2399044011,65236,2,French Newspapers,24430
1,2244379011,Portugal,2399044011,373344,1,Portuguese Newspapers,373344
1,251296011,Italy,2399044011,58665,1,Italian Newspapers,58665
1,2399045011,North America,165389011,1759953,27,North American Newspapers,15281
1,251293011,U.S.,2399045011,2064813,74,U.S. Newspapers,17
1,2237604011,Canada,2399045011,1062854,12,Canadian Newspapers,27267
1,2232107011,Mexico,2399045011,838471,2,Mexican Newspapers,182371
1,2399043011,Asia,165389011,460535,4,Asian Newspapers,190625
1,634370011,China,2399043011,118801,2,Chinese Newspapers,55831
1,2232106011,Japan,2399043011,71736,2,Japanese Newspapers,71736
1,2237319011,India,2399043011,460535,4,Indian Newspapers,59313
1,2239732011,United Arab Emirates,2399043011,-1,0,United Arab Emirates Newspapers,2147483647
1,2239728011,Russia,2399043011,-1,1,Russian Newspapers,2147483647
1,330600011,International,165389011,37694,2,International Newspapers,7701
1,2399046011,South America,165389011,-1,2,South American Newspapers,2147483647
1,2239731011,Chile,2399046011,-1,0,Chilean Newspapers,2147483647
1,2363208011,Argentina,2399046011,697054,1,Argentinian Newspapers,697054
1,2239730011,Peru,2399046011,-1,0,Peruvian Newspapers,2147483647
1,154606011,Kindle eBooks,133141011,22668291,5815561,Kindle eBooks,1
1,157119011,Medical eBooks,154606011,6968803,93948,Medical eBooks,227
1,157152011,Basic Science,157119011,6920845,5619,Basic Medical Science,1287
1,157199011,Neuroscience,157152011,6975336,11373,Neuroscience,1287
